 elem_id      x-coord      y-coord      z-coord
       1           25           25            0
       2           75           25            0
       3          125           25            0
       4          175           25            0
       5          225           25            0
       6          275           25            0
       7          325           25            0
       8          375           25            0
       9          425           25            0
      10          475           25            0
      11          525           25            0
      12          575           25            0
      13          625           25            0
      14          675           25            0
      15          725           25            0
      16          775           25            0
      17          825           25            0
      18          875           25            0
      19          925           25            0
      20          975           25            0
      21           25           75            0
      22           75           75            0
      23          125           75            0
      24          175           75            0
      25          225           75            0
      26          275           75            0
      27          325           75            0
      28          375           75            0
      29          425           75            0
      30          475           75            0
      31          525           75            0
      32          575           75            0
      33          625           75            0
      34          675           75            0
      35          725           75            0
      36          775           75            0
      37          825           75            0
      38          875           75            0
      39          925           75            0
      40          975           75            0
      41           25          125            0
      42           75          125            0
      43          125          125            0
      44          175          125            0
      45          225          125            0
      46          275          125            0
      47          325          125            0
      48          375          125            0
      49          425          125            0
      50          475          125            0
      51          525          125            0
      52          575          125            0
      53          625          125            0
      54          675          125            0
      55          725          125            0
      56          775          125            0
      57          825          125            0
      58          875          125            0
      59          925          125            0
      60          975          125            0
      61           25          175            0
      62           75          175            0
      63          125          175            0
      64          175          175            0
      65          225          175            0
      66          275          175            0
      67          325          175            0
      68          375          175            0
      69          425          175            0
      70          475          175            0
      71          525          175            0
      72          575          175            0
      73          625          175            0
      74          675          175            0
      75          725          175            0
      76          775          175            0
      77          825          175            0
      78          875          175            0
      79          925          175            0
      80          975          175            0
      81           25          225            0
      82           75          225            0
      83          125          225            0
      84          175          225            0
      85          225          225            0
      86          275          225            0
      87          325          225            0
      88          375          225            0
      89          425          225            0
      90          475          225            0
      91          525          225            0
      92          575          225            0
      93          625          225            0
      94          675          225            0
      95          725          225            0
      96          775          225            0
      97          825          225            0
      98          875          225            0
      99          925          225            0
     100          975          225            0
     101           25          275            0
     102           75          275            0
     103          125          275            0
     104          175          275            0
     105          225          275            0
     106          275          275            0
     107          325          275            0
     108          375          275            0
     109          425          275            0
     110          475          275            0
     111          525          275            0
     112          575          275            0
     113          625          275            0
     114          675          275            0
     115          725          275            0
     116          775          275            0
     117          825          275            0
     118          875          275            0
     119          925          275            0
     120          975          275            0
     121           25          325            0
     122           75          325            0
     123          125          325            0
     124          175          325            0
     125          225          325            0
     126          275          325            0
     127          325          325            0
     128          375          325            0
     129          425          325            0
     130          475          325            0
     131          525          325            0
     132          575          325            0
     133          625          325            0
     134          675          325            0
     135          725          325            0
     136          775          325            0
     137          825          325            0
     138          875          325            0
     139          925          325            0
     140          975          325            0
     141           25          375            0
     142           75          375            0
     143          125          375            0
     144          175          375            0
     145          225          375            0
     146          275          375            0
     147          325          375            0
     148          375          375            0
     149          425          375            0
     150          475          375            0
     151          525          375            0
     152          575          375            0
     153          625          375            0
     154          675          375            0
     155          725          375            0
     156          775          375            0
     157          825          375            0
     158          875          375            0
     159          925          375            0
     160          975          375            0
     161           25          425            0
     162           75          425            0
     163          125          425            0
     164          175          425            0
     165          225          425            0
     166          275          425            0
     167          325          425            0
     168          375          425            0
     169          425          425            0
     170          475          425            0
     171          525          425            0
     172          575          425            0
     173          625          425            0
     174          675          425            0
     175          725          425            0
     176          775          425            0
     177          825          425            0
     178          875          425            0
     179          925          425            0
     180          975          425            0
     181           25          475            0
     182           75          475            0
     183          125          475            0
     184          175          475            0
     185          225          475            0
     186          275          475            0
     187          325          475            0
     188          375          475            0
     189          425          475            0
     190          475          475            0
     191          525          475            0
     192          575          475            0
     193          625          475            0
     194          675          475            0
     195          725          475            0
     196          775          475            0
     197          825          475            0
     198          875          475            0
     199          925          475            0
     200          975          475            0
     201           25          525            0
     202           75          525            0
     203          125          525            0
     204          175          525            0
     205          225          525            0
     206          275          525            0
     207          325          525            0
     208          375          525            0
     209          425          525            0
     210          475          525            0
     211          525          525            0
     212          575          525            0
     213          625          525            0
     214          675          525            0
     215          725          525            0
     216          775          525            0
     217          825          525            0
     218          875          525            0
     219          925          525            0
     220          975          525            0
     221           25          575            0
     222           75          575            0
     223          125          575            0
     224          175          575            0
     225          225          575            0
     226          275          575            0
     227          325          575            0
     228          375          575            0
     229          425          575            0
     230          475          575            0
     231          525          575            0
     232          575          575            0
     233          625          575            0
     234          675          575            0
     235          725          575            0
     236          775          575            0
     237          825          575            0
     238          875          575            0
     239          925          575            0
     240          975          575            0
     241           25          625            0
     242           75          625            0
     243          125          625            0
     244          175          625            0
     245          225          625            0
     246          275          625            0
     247          325          625            0
     248          375          625            0
     249          425          625            0
     250          475          625            0
     251          525          625            0
     252          575          625            0
     253          625          625            0
     254          675          625            0
     255          725          625            0
     256          775          625            0
     257          825          625            0
     258          875          625            0
     259          925          625            0
     260          975          625            0
     261           25          675            0
     262           75          675            0
     263          125          675            0
     264          175          675            0
     265          225          675            0
     266          275          675            0
     267          325          675            0
     268          375          675            0
     269          425          675            0
     270          475          675            0
     271          525          675            0
     272          575          675            0
     273          625          675            0
     274          675          675            0
     275          725          675            0
     276          775          675            0
     277          825          675            0
     278          875          675            0
     279          925          675            0
     280          975          675            0
     281           25          725            0
     282           75          725            0
     283          125          725            0
     284          175          725            0
     285          225          725            0
     286          275          725            0
     287          325          725            0
     288          375          725            0
     289          425          725            0
     290          475          725            0
     291          525          725            0
     292          575          725            0
     293          625          725            0
     294          675          725            0
     295          725          725            0
     296          775          725            0
     297          825          725            0
     298          875          725            0
     299          925          725            0
     300          975          725            0
     301           25          775            0
     302           75          775            0
     303          125          775            0
     304          175          775            0
     305          225          775            0
     306          275          775            0
     307          325          775            0
     308          375          775            0
     309          425          775            0
     310          475          775            0
     311          525          775            0
     312          575          775            0
     313          625          775            0
     314          675          775            0
     315          725          775            0
     316          775          775            0
     317          825          775            0
     318          875          775            0
     319          925          775            0
     320          975          775            0
     321           25          825            0
     322           75          825            0
     323          125          825            0
     324          175          825            0
     325          225          825            0
     326          275          825            0
     327          325          825            0
     328          375          825            0
     329          425          825            0
     330          475          825            0
     331          525          825            0
     332          575          825            0
     333          625          825            0
     334          675          825            0
     335          725          825            0
     336          775          825            0
     337          825          825            0
     338          875          825            0
     339          925          825            0
     340          975          825            0
     341           25          875            0
     342           75          875            0
     343          125          875            0
     344          175          875            0
     345          225          875            0
     346          275          875            0
     347          325          875            0
     348          375          875            0
     349          425          875            0
     350          475          875            0
     351          525          875            0
     352          575          875            0
     353          625          875            0
     354          675          875            0
     355          725          875            0
     356          775          875            0
     357          825          875            0
     358          875          875            0
     359          925          875            0
     360          975          875            0
     361           25          925            0
     362           75          925            0
     363          125          925            0
     364          175          925            0
     365          225          925            0
     366          275          925            0
     367          325          925            0
