 elem_id        Young      Poisson
       1       198849     0.313854
       2       201423     0.327888
       3       202427     0.335085
       4       196413     0.336331
       5       188176     0.329327
       6       178085     0.319653
       7       167195     0.307092
       8       158539     0.294935
       9       152710     0.285915
      10       152484     0.279064
      11       153882     0.275843
      12       155648     0.272927
      13       156552     0.271666
      14       152462     0.270567
      15       144576     0.268121
      16       139039     0.264851
      17       135658     0.261702
      18       137605     0.259493
      19       146404     0.258681
      20       158115     0.260958
      21       200156      0.31338
      22       205082     0.326693
      23       207177     0.334347
      24       201659     0.334071
      25       192593     0.328536
      26       182153     0.317495
      27       169348     0.303989
      28       158547     0.290849
      29       154361     0.279764
      30       153014     0.272716
      31       156226     0.269326
      32       160791     0.269886
      33       163537     0.271743
      34       164197     0.272724
      35       160202     0.272586
      36       153477     0.270159
      37       147591      0.26545
      38       144782     0.260911
      39       149541     0.257945
      40       158423     0.254625
      41       205592     0.315911
      42       211596      0.32918
      43       212203     0.336791
      44       209185     0.337897
      45       201203     0.333007
      46       188931     0.321386
      47       175339     0.307379
      48       163210     0.293956
      49       156798     0.281142
      50       155898       0.2734
      51       160137     0.270556
      52       167484     0.271387
      53       173920     0.274245
      54       176405     0.277323
      55       173948     0.278463
      56       167522     0.275501
      57       158729     0.268585
      58       151765     0.260284
      59       149379     0.254002
      60       152288     0.249713
      61       216815     0.322991
      62       220261     0.336333
      63       222767     0.344122
      64       221294     0.346232
      65       211623     0.341493
      66       198686     0.330817
      67       183712      0.31724
      68       171614     0.301561
      69       163886     0.288675
      70       163188     0.279993
      71       168548     0.276603
      72       176248     0.277407
      73       184438     0.280161
      74       187905      0.28381
      75       186195      0.28322
      76       178399      0.27943
      77       168077      0.27213
      78       156301     0.260537
      79       147458     0.250239
      80       144668     0.242643
      81       228726      0.33348
      82       233782     0.345212
      83       235995     0.353395
      84       232855     0.356121
      85       223222     0.351866
      86       209892     0.342325
      87       194683     0.328266
      88       182318      0.31306
      89       174838     0.300124
      90       174017     0.290745
      91       178644      0.28585
      92       186211     0.285658
      93       194155     0.287565
      94       198538      0.28935
      95       195910     0.288679
      96       186071     0.283714
      97       172414     0.274288
      98       156754      0.26171
      99       143696     0.248369
     100       135921     0.237637
     101       244158     0.342434
     102       249103     0.351945
     103       248947     0.360089
     104       244722      0.36228
     105       234011     0.360391
     106       219291     0.351511
     107       204587      0.33849
     108       192475     0.324742
     109       186057     0.311794
     110       185185     0.301837
     111       189487     0.296049
     112       196718     0.293944
     113       202897     0.294661
     114       205883     0.294876
     115       202508      0.29277
     116       191204     0.286684
     117       173462     0.276326
     118       156103     0.263102
     119       137499     0.249052
     120       127914     0.237539
     121       257067       0.3456
     122       258364     0.354046
     123       257154     0.361299
     124       250894     0.365198
     125       239425     0.363127
     126       224743     0.355843
     127       210150     0.345497
     128       199851     0.333037
     129       194599      0.32103
     130       194955     0.311423
     131       199429     0.304988
     132       205665     0.301577
     133       210872      0.29996
     134       211268     0.299056
     135       206096     0.295625
     136       193836       0.2889
     137       175632      0.27843
     138       154019     0.265466
     139       137329     0.251547
     140       123746     0.240864
     141       262909     0.341398
     142       262341     0.349149
     143       260540     0.354886
     144       251996     0.359368
     145       239281     0.359033
     146       224157      0.35492
     147       211231     0.346793
     148       202556     0.336812
     149       199795     0.327005
     150       202038     0.318597
     151       207279      0.31218
     152       213038     0.307722
     153       216764     0.304617
     154       216245     0.301579
     155       208962     0.297864
     156       196024     0.290906
     157       178074     0.281307
     158       157804     0.269053
     159       139682     0.257349
     160       128479     0.248404
     161       259880     0.331477
     162       260429     0.336533
     163       254435     0.343476
     164       246414     0.347772
     165       233250     0.349944
     166       219509     0.348177
     167       208082     0.343357
     168       202215        0.337
     169       202310     0.330298
     170       206820     0.323981
     171       213208     0.318327
     172       218923     0.313388
     173       221833     0.309045
     174       220268     0.304875
     175       213256     0.299943
     176       200000     0.293956
     177       183607     0.285223
     178       165021     0.274914
     179       149690     0.264567
     180       141803     0.257862
     181       251491     0.316226
     182       250104     0.321891
     183       244437     0.327057
     184       235964     0.333139
     185       224633     0.337063
     186       212467     0.338428
     187       203891      0.33765
     188       201167     0.335507
     189       204203     0.332581
     190       210890     0.328996
     191       218359      0.32469
     192       224124     0.319783
     193       226519     0.314611
     194       224561     0.309431
     195       217793       0.3041
     196       206594     0.297967
     197       191737      0.29118
     198       178209     0.282544
     199       165546      0.27417
     200       160375      0.26793
     201       238997     0.301584
     202       235937      0.30492
     203       232869     0.311209
     204       225021     0.317623
     205       215489     0.323907
     206       206252     0.328698
     207       201112     0.332113
     208       201735     0.334391
     209       207475     0.335423
     210       215837     0.334755
     211       223850     0.332032
     212       229253     0.327435
     213       230899     0.321691
     214       228494     0.315639
     215       222228      0.30971
     216       212828     0.303812
     217       201455     0.297322
     218       190742     0.290285
     219       182464     0.283171
     220       181043     0.278319
     221       224592     0.287745
     222       224170      0.28971
     223       221166     0.296751
     224       214905     0.304819
     225       207595     0.313075
     226       202377     0.320902
     227       200919     0.328302
     228       204811     0.334663
     229       212752     0.339258
     230       222021     0.341169
     231       229735     0.339851
     232       233988     0.335566
     233       234191      0.32934
     234       230731     0.322446
     235       224529     0.315853
     236       216539     0.309475
     237       208390     0.303152
     238       201533     0.296722
     239       199124     0.291426
     240       199197     0.287384
     241       211190     0.276219
     242       210881     0.278675
     243       209765     0.285726
     244       206442     0.294793
     245       202020     0.304813
     246       200028     0.315707
     247       202779     0.326193
     248       209395     0.335803
     249       218816     0.343053
     250       228118      0.34678
     251       234661     0.346391
     252       236963     0.342251
     253       234974     0.335579
     254       229786     0.328009
     255       222728     0.320437
     256       215419     0.313685
     257       209894     0.307483
     258       206386     0.301835
     259       205891     0.296341
     260       211099     0.292286
     261       199630     0.265616
     262       199417     0.269438
     263       198750     0.277876
     264       197855     0.286696
     265       197258     0.298552
     266       198678     0.311537
     267       204041     0.324647
     268       213255      0.33608
     269       223174     0.344844
     270       231714     0.349462
     271       236473     0.349458
     272       236402     0.345306
     273       231972     0.338402
     274       224528     0.330085
     275       216199     0.322132
     276       209533     0.315031
     277       205588      0.30928
     278       205153     0.303843
     279       209011     0.300063
     280       217280     0.298011
     281       186761     0.257402
     282       185992     0.261837
     283       186868     0.270088
     284       188171     0.280631
     285       190525     0.292896
     286       195793     0.306932
     287       203394     0.321115
     288       213192     0.333736
     289       223369     0.342745
     290       230512     0.347538
     291       233340     0.347563
     292       231150     0.343477
     293       224472     0.336286
     294       215231     0.328023
     295       206228     0.319922
     296       199270     0.313486
     297       196650     0.307953
     298       199967       0.3049
     299       207993     0.303977
     300       219574     0.302702
     301       173042     0.248166
     302       173004     0.253509
     303       173895     0.261459
     304       175842     0.273109
     305       181275     0.286217
     306       188724     0.300303
     307       198518     0.314488
     308       208449     0.326903
     309       217355     0.336085
     310       223483     0.340594
     311       224718      0.34072
     312       221008     0.336609
     313       213191     0.329842
     314       203371     0.321751
     315       193742      0.31454
     316       187665     0.308812
     317       187932     0.305954
     318       194562      0.30526
     319       206758     0.307234
     320       221739     0.310084
     321       161797     0.238779
     322       159375     0.244572
     323       159947     0.252113
     324       163388     0.262886
     325       167794      0.27661
     326       178024      0.29071
     327       187796     0.304585
     328       198103     0.315858
     329       206370     0.324611
     330       210936     0.329729
     331       210878      0.33005
     332       207555     0.326293
     333       200151     0.320349
     334       189599     0.313024
     335       181252     0.306219
     336       177987     0.303154
     337       181613     0.303297
     338       191076     0.307464
     339       207814     0.313421
     340       224920     0.321717
     341       152840     0.230854
     342       148540     0.235433
     343       147234     0.242307
     344       148575     0.253476
     345       154824     0.264757
     346       162595     0.277217
     347       172835     0.290886
     348       182688     0.302653
     349       190454     0.310995
     350       195452     0.315693
     351       196032     0.316784
     352       191556     0.314161
     353       183808      0.30815
     354       176720     0.301862
     355       170353     0.298422
     356       170731      0.29715
     357       176614     0.301412
     358       193177     0.310477
     359       212728     0.321675
     360       233072     0.336349
     361       149934      0.22553
     362       141755     0.229246
     363       136721     0.234704
     364       137116     0.242482
     365       141387     0.252159
     366       148176     0.263152
     367       156199     0.274421
     368       165936     0.286256
     369       171715     0.294912
     370       176356     0.300773
     371       178797     0.302437
     372       176134     0.300465
     373       170000     0.295931
     374       164926     0.291051
     375       162464     0.288093
     376       164402     0.291362
     377       175331     0.300804
     378       195798       0.3159
     379       218711     0.333773
     380       244173     0.350342
     381       153305     0.222539
     382       140303     0.226644
