 elem_id        Young      Poisson
       1       179890     0.263058
       2       184059     0.267524
       3       197593     0.275345
       4       217328     0.281899
       5       236697     0.286796
       6       249939     0.288716
       7       256542     0.285358
       8       252947     0.280277
       9       244677     0.273337
      10       234564     0.268735
      11       226040      0.26889
      12       221994      0.27232
      13       220901     0.279938
      14       220582     0.290012
      15       221470     0.299218
      16       218276     0.306819
      17       212871     0.310855
      18       204916     0.309084
      19       196873     0.306198
      20       190007     0.298823
      21       189491     0.262965
      22       192167     0.268799
      23       204283     0.276567
      24       223226     0.282466
      25       240559     0.287743
      26       255079     0.290215
      27       261136      0.28829
      28       261494      0.28447
      29       254394     0.278799
      30       243942     0.277664
      31       233993     0.276097
      32       227170     0.280689
      33       222732     0.288428
      34       223973     0.299116
      35       224229      0.31046
      36       221631     0.318354
      37       216488     0.323026
      38       209337     0.323237
      39       201887     0.317909
      40       196728     0.308929
      41       199330     0.264559
      42       202047     0.270874
      43       212321     0.276719
      44       227087     0.283272
      45       244653     0.286896
      46       258549     0.289178
      47       266893     0.288562
      48       266086     0.286838
      49       259069     0.283788
      50       247696     0.282681
      51       235316     0.282872
      52       226901     0.287283
      53       222370      0.29398
      54       222391     0.304567
      55       223601     0.315708
      56       225409     0.326509
      57       224433     0.332304
      58       219154     0.333322
      59       212859     0.328154
      60       207131     0.319079
      61       209617     0.267926
      62       209829     0.272603
      63       217472     0.276242
      64       229991      0.28049
      65       245211     0.283269
      66       259314     0.284686
      67       266683     0.285525
      68       267370     0.285128
      69       258995     0.285363
      70       247047     0.285097
      71       233684     0.286554
      72       223388     0.290099
      73       218586     0.296199
      74       218271     0.305606
      75       222851     0.315739
      76       227690     0.326975
      77       230127     0.335506
      78       230048     0.337795
      79       227477     0.332986
      80       223160       0.3243
      81       218607     0.268268
      82       216204     0.271981
      83       219429     0.273582
      84       229079     0.275015
      85       242652      0.27595
      86       254960     0.277184
      87       262742       0.2788
      88       262581     0.280976
      89       256086     0.282303
      90       243325     0.284708
      91       229714     0.286719
      92       218686     0.289476
      93       213423      0.29431
      94       215269     0.301748
      95       221960     0.312212
      96       230239     0.323034
      97       237768      0.33176
      98       241651     0.335958
      99       241014     0.333306
     100       240290     0.323871
     101       224112     0.266655
     102       218463     0.269076
     103       218902     0.269431
     104       224240     0.267848
     105       234661      0.26657
     106       245552     0.267081
     107       252730     0.269581
     108       254710     0.272489
     109       248375     0.277278
     110       237447     0.281046
     111       224613      0.28396
     112       214392     0.286496
     113       210199     0.289901
     114       213009     0.296029
     115       221977     0.304713
     116       233221     0.315355
     117       243033     0.324522
     118       249652     0.327969
     119       251352     0.326767
     120       251601     0.319043
     121       227911     0.265203
     122       218303     0.265365
     123       213398     0.263835
     124       215256     0.259731
     125       222220     0.256696
     126       231255     0.256398
     127       239764     0.258231
     128       241954     0.264006
     129       238663     0.270187
     130       230070     0.275788
     131       219738     0.279782
     132       211730     0.282517
     133       209306     0.285463
     134       213680     0.290058
     135       223257      0.29752
     136       235633     0.306108
     137       246715     0.313989
     138       254411     0.317314
     139       258113     0.315662
     140       258473     0.308452
     141       227074      0.26532
     142       215282     0.264316
     143       206783     0.258874
     144       204130        0.253
     145       207579     0.248417
     146       216103     0.246072
     147       223537     0.249337
     148       228364     0.255522
     149       227729     0.263329
     150       222660     0.270536
     151       215977     0.275876
     152       211242     0.279473
     153       211231     0.282589
     154       216803     0.286721
     155       226665     0.292209
     156       237699      0.29878
     157       247536     0.303705
     158       254199     0.305811
     159       258268     0.301259
     160       257576     0.292749
     161       225319     0.267929
     162       211135     0.264042
     163       198226     0.257799
     164       193276     0.249938
     165       194766     0.242631
     166       200655      0.24024
     167       209034     0.242477
     168       215270     0.249123
     169       217576     0.257945
     170       216310     0.266569
     171       213740     0.273476
     172       212753     0.278508
     173       215400     0.282547
     174       221963     0.286592
     175       230925      0.29084
     176       239876     0.294088
     177       246824      0.29529
     178       250075     0.292977
     179       252097     0.285571
     180       250666     0.276415
     181       221206     0.272603
     182       206498     0.268967
     183       193354     0.260525
     184       184383     0.250895
     185       183999     0.242231
     186       189378     0.237771
     187       197332      0.23905
     188       204638     0.245377
     189       209291      0.25464
     190       211392     0.264385
     191       212692     0.272903
     192       215325     0.279697
     193       220485     0.285124
     194       227737     0.289535
     195       235274     0.292548
     196       240950     0.293036
     197       243580     0.289601
     198       243122     0.282671
     199       241113     0.272492
     200       238144     0.259261
     201       216423     0.280832
     202       201100     0.276072
     203       187918     0.266948
     204       179957     0.254816
     205       177935     0.245318
     206       182167     0.239167
     207       189465     0.238966
     208       196970     0.244358
     209       202961     0.253443
     210       207499     0.263833
     211       211918     0.273706
     212       217610     0.282215
     213       224886     0.289134
     214       232561     0.294129
     215       238518     0.296257
     216       240998     0.294101
     217       238571     0.287333
     218       234834     0.275236
     219       228278     0.260901
     220       222450     0.246382
     221       209556     0.289681
     222       197310     0.284876
     223       184568     0.275257
     224       176891     0.262535
     225       175326     0.251258
     226       178703     0.243688
     227       184982     0.241837
     228       191810     0.245859
     229       198062     0.254148
     230       203965      0.26453
     231       210560      0.27518
     232       218579      0.28497
     233       227516     0.293158
     234       235521     0.298803
     235       240368     0.300397
     236       239534      0.29692
     237       235111     0.286743
     238       226554     0.272034
     239       216459     0.254453
     240       208604     0.238073
     241       204554     0.294425
     242       193236     0.290941
     243       182667     0.283255
     244       177054     0.270937
     245       175744     0.258564
     246       177992       0.2503
     247       182916     0.247116
     248       188507     0.249533
     249       194177     0.256515
     250       200532     0.266182
     251       208446     0.276843
     252       218111     0.287243
     253       228369     0.296288
     254       237048     0.302489
     255       240603     0.304629
     256       239161     0.300063
     257       232054     0.289077
     258       222010     0.272086
     259       211542     0.253013
     260       203234     0.236898
     261       200060     0.297774
     262       190870     0.296562
     263       183618     0.289255
     264       178611     0.279197
     265       177929     0.267025
     266       179867     0.257824
     267       182741     0.253955
     268       186743     0.254909
     269       191388      0.26025
     270       197557     0.268638
     271       206131     0.278602
     272       216922     0.288938
     273       228513     0.298304
     274       237248     0.305623
     275       242174     0.307931
     276       241063     0.304073
     277       234264     0.293048
     278       222622     0.276543
     279       212975     0.258436
     280       206403     0.240259
     281       200686     0.299134
     282       191609     0.299564
     283       186586      0.29371
     284       183027     0.285406
     285       181956     0.275884
     286       183350     0.266532
     287       185120     0.261191
     288       186667     0.261238
     289       189990     0.264989
     290       195594     0.271811
     291       204324     0.280642
     292       216003     0.290328
     293       227877     0.300178
